Classes,Frequency,Midpoint,Freq * Mid
23.0 - 24.0,1,23.5,23.5
24.0 - 25.0,0,24.5,0.0
25.0 - 26.0,0,25.5,0.0
26.0 - 27.0,0,26.5,0.0
27.0 - 28.0,0,27.5,0.0
28.0 - 29.0,0,28.5,0.0
29.0 - 30.0,0,29.5,0.0
30.0 - 31.0,0,30.5,0.0
31.0 - 32.0,0,31.5,0.0
32.0 - 33.0,0,32.5,0.0
33.0 - 34.0,0,33.5,0.0
34.0 - 35.0,0,34.5,0.0
35.0 - 36.0,0,35.5,0.0
36.0 - 37.0,0,36.5,0.0
37.0 - 38.0,0,37.5,0.0
38.0 - 39.0,0,38.5,0.0
39.0 - 40.0,0,39.5,0.0
40.0 - 41.0,0,40.5,0.0
41.0 - 42.0,0,41.5,0.0
42.0 - 43.0,0,42.5,0.0
43.0 - 44.0,0,43.5,0.0
44.0 - 45.0,0,44.5,0.0
45.0 - 46.0,1,45.5,45.5
46.0 - 47.0,0,46.5,0.0
47.0 - 48.0,0,47.5,0.0
48.0 - 49.0,0,48.5,0.0
49.0 - 50.0,0,49.5,0.0
50.0 - 51.0,0,50.5,0.0
51.0 - 52.0,0,51.5,0.0
52.0 - 53.0,0,52.5,0.0
53.0 - 54.0,0,53.5,0.0
54.0 - 55.0,0,54.5,0.0
55.0 - 56.0,0,55.5,0.0
56.0 - 57.0,0,56.5,0.0
57.0 - 58.0,0,57.5,0.0
58.0 - 59.0,0,58.5,0.0
59.0 - 60.0,0,59.5,0.0
60.0 - 61.0,0,60.5,0.0
61.0 - 62.0,0,61.5,0.0
62.0 - 63.0,0,62.5,0.0
63.0 - 64.0,0,63.5,0.0
64.0 - 65.0,0,64.5,0.0
65.0 - 66.0,0,65.5,0.0
66.0 - 67.0,1,66.5,66.5
